Boid Count, Average, Minimum, Maximum
20,496.7948,22.64754,568.3755
40,409.0877,21.29626,464.8568
60,348.8926,22.66387,400.4966
80,325.0906,20.05282,360.1397
100,291.1544,22.80876,327.7614
120,255.8224,21.33165,296.4456
140,236.6915,111.5897,274.7706
160,196.5589,22.0051,255.3691
180,195.582,20.88755,238.22
200,175.1848,95.2635,211.2155
220,160.8686,20.19366,200.8476
240,153.5365,87.70622,183.6682
260,137.3947,84.32628,166.2897
280,129.3655,83.96658,166.2483
300,121.9733,77.27557,143.6348
320,114.3798,19.46749,135.2759
340,109.301,75.71628,130.6831
360,103.7029,68.42847,120.3355
380,98.1122,18.88621,115.0642
400,94.06036,67.35095,107.0538
420,90.55096,65.3552,103.1289
440,87.16363,61.7921,98.15469
460,83.91175,18.41366,94.5403
480,81.15152,60.75371,90.10957
500,78.37002,57.72272,86.08889
520,76.15938,57.90154,84.94588
540,72.9742,17.5584,80.64386
560,71.66291,56.03339,78.87368
580,69.66962,54.23582,74.94286
600,67.3997,51.86507,72.54472
620,65.0926,18.05722,69.98684
640,62.85112,48.91459,68.59557
660,60.96894,47.66262,65.57807
680,58.90928,46.53479,62.27581
700,56.11943,45.62335,60.56715
720,52.97652,33.6799,57.47556
740,45.23999,32.03167,48.00399
760,37.70121,32.85442,39.30153
780,34.69642,30.73339,36.23543
800,33.22131,28.82368,35.6823
820,31.91958,27.3183,34.3032
840,30.6278,24.11312,33.58015
860,29.74968,26.11225,32.7508
880,28.60558,25.04665,31.05166
900,27.51049,12.56245,30.75106
920,26.99194,23.99388,29.23823
940,26.02774,23.52072,28.06962
960,25.5209,23.31383,27.46053
980,24.89943,22.79925,26.36304
1000,24.2532,22.28442,26.03014
1020,23.709,21.90912,24.91969
1040,23.06513,20.7156,24.32386
1060,22.64135,20.92151,23.90932
1080,22.15642,20.46936,23.12203
1100,21.67408,20.20104,22.4707
1120,21.16872,11.32981,22.70952
1140,20.80832,19.37121,21.45343
1160,20.41195,19.0416,21.02152
1180,19.89938,18.59652,20.61686
1200,19.50474,18.26374,20.243
1220,19.12925,17.9103,19.80398
1240,18.79025,17.6132,19.46033
1260,18.4782,17.45475,19.19662
1280,18.10571,17.11564,18.74232
1300,17.79221,16.63711,18.41644
1320,17.43397,16.33483,18.10086
1340,17.12109,15.74992,17.72192
1360,16.71032,15.67192,17.48087
1380,16.32938,9.361332,17.11016
1400,16.03527,14.86386,16.6287
1420,15.63196,13.73936,16.40888
1440,15.12275,11.7516,16.0764
1460,13.9473,13.31707,14.39688
1480,12.4633,12.037,12.83491
1500,11.86621,11.08866,12.29996
1520,11.35281,10.32888,12.026
1540,11.30342,9.978198,11.88859
1560,11.08786,10.50463,11.71639
1580,10.93387,10.27964,11.51772
1600,10.57164,9.465135,11.18002
1620,10.3099,8.920877,11.18554
1640,10.29879,9.862099,11.04331
1660,9.880598,9.391806,10.41383
