Boid Count, Average, Minimum, Maximum
20,600.838,59.87163,716.7431
40,600.2572,59.66125,717.2572
60,596.0229,58.43272,715.7684
80,515.1302,47.3689,701.7051
100,593.6144,60.74375,699.4964
120,608.2394,51.34894,708.9182
140,599.3114,52.60057,693.4332
160,598.3242,60.09435,699.4474
180,595.3293,57.45905,694.5409
200,586.0045,59.93767,687.8525
220,582.4689,58.55247,687.8998
240,588.973,59.43713,688.6104
260,578.5081,58.95322,688.9899
280,569.4044,57.92769,690.2264
300,569.33,59.7868,686.8132
320,584.5807,58.98696,682.7337
340,568.4746,58.29272,677.4609
360,573.2418,57.80681,675.0827
380,582.4818,61.39263,680.3184
400,586.004,59.30178,673.5367
420,575.3387,59.87701,682.3144
440,575.3954,49.93035,671.5466
460,568.8176,59.54011,663.7903
480,553.9183,60.2573,683.2001
500,558.8632,49.99625,670.9158
520,564.1187,60.53745,668.4045
540,561.4449,60.64686,656.4265
560,557.8651,59.27999,652.103
580,544.7141,60.30708,648.6346
600,556.0378,59.90643,637.8771
620,547.3609,58.94628,640.041
640,531.7747,60.02257,630.1594
660,534.3973,53.50197,621.4268
680,520.8986,60.00492,616.067
700,408.174,59.52346,613.0081
720,509.7188,50.42966,584.7953
740,498.6719,56.80624,572.1478
760,494.0895,59.23714,561.1357
780,489.5596,58.77547,550.9338
800,483.6241,57.76674,550.8732
820,474.9688,59.22451,540.1609
840,471.1715,56.84887,536.7975
860,466.0232,58.17234,527.6488
880,453.7538,58.13886,533.3903
900,445.4599,59.48982,520.481
920,456.307,58.01002,512.8206
940,447.26,58.83599,506.0217
960,446.4431,58.24316,502.7147
980,435.1736,57.82386,491.5696
1000,433.5077,57.68343,490.7253
1020,425.8053,49.21429,480.5844
1040,421.4831,58.27913,474.8789
1060,410.164,56.92005,473.7765
1080,415.9937,57.76007,470.1236
1100,408.774,57.51952,461.1695
1120,404.8765,57.81082,457.7916
1140,403.3877,57.78143,450.7754
1160,394.9662,57.16082,448.0688
1180,395.041,56.95539,450.8973
1200,392.5983,57.32203,439.5025
1220,386.8267,48.88637,435.4073
1240,382.6313,57.89851,436.0148
1260,384.6441,55.61952,429.7194
1280,366.8687,57.76807,428.7981
1300,375.8106,46.57553,424.0163
1320,362.3562,57.12034,412.6093
1340,358.3806,48.35005,416.0599
1360,356.1289,48.61236,406.6694
1380,357.593,57.16605,406.7355
1400,342.9145,55.54476,397.8199
1420,340.5581,56.76947,393.5768
1440,333.1766,53.19149,386.2495
1460,331.8456,55.59941,371.2642
1480,324.979,56.23886,361.0108
1500,318.2637,55.60282,353.7944
1520,312.6321,46.82722,351.7659
1540,310.3086,56.46719,345.0656
1560,302.5051,51.54506,341.6584
1580,259.6004,14.03385,335.7282
1600,295.0722,55.79735,334.4706
1620,293.8637,56.31867,328.9041
1640,284.7904,53.51657,319.826
1660,283.426,53.48595,324.6964
1680,280.6813,54.04529,310.3084
1700,280.247,53.97266,305.8665
1720,273.7936,46.95166,301.8503
1740,275.7331,55.14017,300.5892
1760,267.1035,53.41196,295.0287
1780,268.5512,55.02517,294.0052
1800,259.5313,54.29235,292.1073
1820,259.4878,53.08532,290.3179
1840,238.1523,53.81957,285.4289
1860,254.9969,52.34643,283.4949
1880,248.7651,50.77715,279.2516
1900,250.3666,53.56903,274.6347
1920,245.5779,52.4648,276.8013
1940,245.4708,53.0504,270.0732
1960,244.2709,53.99597,268.0606
1980,240.826,52.3489,267.7663
2000,236.3276,52.60777,263.581
2020,231.3119,52.6086,260.4777
2040,226.7821,53.92754,252.9788
2060,223.1536,51.55064,256.0295
2080,219.4074,52.27938,243.6647
2100,216.2127,49.63863,239.8542
2120,214.0821,51.32021,242.5124
2140,210.2308,52.00316,233.0568
2160,205.8871,52.54198,233.9346
2180,201.3,49.06578,222.9605
2200,197.145,51.04098,223.909
2220,196.2326,51.316,218.5601
2240,195.039,49.81295,214.2199
2260,191.1602,51.01494,212.8792
2280,188.7559,49.8512,209.4723
2300,186.2425,42.1104,204.1858
2320,182.6295,47.76621,198.5821
2340,179.9603,49.12218,198.0551
2360,179.7468,40.99453,199.5849
2380,176.7596,48.30848,189.5447
2400,173.3524,49.57907,193.9413
2420,172.9771,48.45853,190.6178
2440,172.3531,48.50296,187.2168
2460,170.2423,47.79589,185.8356
2480,168.218,101.5208,181.8116
2500,159.5025,47.01148,183.3315
2520,165.5828,46.78297,179.2918
2540,163.8578,45.86672,176.2301
2560,162.6949,46.88584,173.6654
2580,160.7789,47.6025,172.0904
2600,159.3046,47.68626,174.1493
2620,158.4293,47.60318,173.9312
2640,156.5723,47.68194,168.5573
2660,155.4122,47.61134,166.9087
2680,153.0686,47.50549,165.2374
2700,152.3118,45.9694,163.8002
2720,151.2697,45.40687,160.9192
2740,149.3279,93.62069,159.5507
2760,148.4094,91.76669,157.4307
2780,145.7184,47.29385,159.7215
2800,144.4072,39.12409,157.9679
2820,141.7455,45.92781,156.3942
2840,141.6099,49.73738,151.3546
2860,138.7982,43.63249,151.522
2880,137.5816,44.28678,147.5514
2900,134.9213,46.14909,146.1839
2920,132.6381,44.85029,142.8306
2940,131.126,43.58096,142.7694
2960,129.7887,44.43358,140.6885
2980,124.7562,44.61876,141.239
3000,123.1672,79.86838,135.8068
3020,124.1557,83.18499,133.3938
3040,123.177,82.59616,132.6014
3060,122.0725,43.71986,130.6677
3080,122.4201,43.70706,131.0479
3100,116.7588,42.32302,128.5892
3120,120.3137,43.35912,129.4431
3140,118.3392,43.40184,127.3853
3160,116.5168,43.47202,126.2802
3180,115.9754,43.54054,122.5746
3200,115.0722,77.05288,121.3813
3220,114.6957,79.24119,120.9307
3240,113.8129,42.86951,125.4202
3260,112.9807,42.51393,119.3431
3280,112.9506,39.32379,119.1483
3300,111.1141,35.8581,119.9702
3320,110.574,78.39817,116.9276
3340,108.8977,75.91458,115.0854
3360,108.5207,42.02952,116.9044
3380,107.3667,34.8776,117.8203
3400,106.0719,41.13026,114.7579
3420,106.5679,75.60007,111.7868
3440,105.3104,75.64697,111.3921
3460,104.0997,40.67008,111.7543
3480,103.6281,40.92942,110.1079
3500,101.9832,40.87288,109.3434
3520,101.1822,71.76021,107.2076
3540,100.5276,40.76475,106.7589
3560,99.17619,38.91051,107.1708
3580,98.07098,70.20056,103.868
3600,97.01155,69.74911,102.3835
3620,95.96338,39.96132,101.6715
3640,94.26805,34.72994,100.322
3660,93.77666,67.64984,99.06287
3680,92.99158,39.10558,99.55598
3700,91.58398,39.00841,97.05157
3720,90.59958,66.72539,96.40691
3740,89.57269,66.57524,94.89827
3760,88.92677,38.68128,94.89467
3780,88.40305,65.76308,93.62857
3800,87.86629,66.16251,94.9848
3820,87.31939,38.27195,92.13873
3840,85.40405,64.3364,91.56586
3860,85.63803,64.53111,90.86036
3880,84.90362,37.31956,90.5051
3900,84.5425,63.67155,88.46348
3920,83.56967,37.45641,88.27139
3940,83.09037,37.59738,89.39986
3960,82.50021,62.0613,87.10574
3980,82.27982,37.64111,89.33278
4000,80.10124,60.25694,85.60764
4020,81.01885,62.16818,84.75797
4040,80.02274,32.54456,86.38786
4060,79.47276,60.45657,83.1124
4080,78.99925,36.08167,85.00293
4100,78.02078,32.05385,82.04724
4120,77.99358,59.76393,82.22399
4140,77.3278,34.89658,82.54503
4160,76.61054,59.58765,80.42852
4180,76.15902,35.88706,80.73892
4200,75.51465,58.71887,79.48367
4220,74.85172,58.31754,78.85813
4240,73.90592,35.6317,79.17657
4260,73.04456,55.4293,77.60059
4280,72.73286,35.07381,77.40777
4300,71.92751,56.36312,76.5902
4320,71.10276,34.12806,76.29162
4340,70.9894,54.38181,74.68651
4360,70.04137,34.45412,74.8279
4380,69.28426,53.47364,73.7893
4400,69.00462,54.52592,73.20161
4420,68.32248,53.91359,72.66544
4440,67.69789,52.88683,71.73602
4460,66.674,33.02248,71.13337
4480,66.57832,52.51521,70.1459
4500,65.50017,29.22951,70.67587
4520,65.33751,50.20988,68.74364
4540,64.71339,33.38787,68.91846
4560,64.36724,52.05568,67.85181
4580,63.75934,33.21332,68.65868
4600,63.59401,50.58195,66.69601
4620,63.04176,32.99568,66.90216
4640,62.84943,50.0095,66.055
4660,62.35835,28.84846,68.01703
4680,62.15007,50.33067,65.28651
4700,61.49075,32.34822,65.04361
4720,61.47593,48.20927,64.23598
4740,61.01349,49.63445,63.67723
4760,60.65905,47.46738,64.05616
4780,60.05028,46.6873,62.63074
4800,59.66309,31.33313,64.0927
4820,59.01702,47.59502,62.13071
4840,58.8699,28.30432,63.5538
4860,58.62696,48.04781,61.18416
4880,58.11022,27.59999,62.85592
4900,57.81743,46.72919,60.60753
4920,57.25538,30.92662,61.94558
4940,57.25269,46.91972,60.57852
4960,56.43827,30.97586,60.51254
