Boid Count, Average, Minimum, Maximum
20,718.8883,50.5247,851.4261
40,594.9382,50.47319,717.6175
60,487.6737,47.53891,578.9382
80,404.0501,45.55207,465.6794
100,320.8789,44.67218,364.0335
120,261.9101,43.03889,293.7979
140,215.1398,167.653,235.6268
160,178.9599,41.41764,195.7943
180,151.3447,127.1585,162.6678
200,127.4125,108.36,134.9473
220,107.7726,78.73706,114.4296
240,94.86607,86.63034,100.3543
260,82.98149,73.83834,87.66931
280,72.81312,66.45048,76.16668
300,63.66545,29.11301,66.6449
320,56.99585,53.94995,59.72181
340,50.54927,42.67796,52.82257
360,45.41784,43.19393,47.11536
380,40.82345,39.47,42.34794
400,37.54815,36.23307,38.63271
420,34.05381,33.02761,35.10829
440,31.00992,30.24886,31.5848
460,28.04423,17.87738,28.68519
480,26.20167,25.62263,26.63613
500,24.22717,23.71427,24.82018
520,22.34566,21.85315,22.78766
540,20.70746,19.83021,21.24504
560,19.40177,18.85384,19.75223
580,18.03536,15.62585,18.36507
600,16.81575,16.38783,17.15331
620,15.73014,15.42722,15.96518
640,14.79977,14.59632,15.07807
660,13.87611,13.59229,14.24167
680,13.10178,12.83106,13.36595
700,12.05189,6.407771,12.47258
720,11.60865,11.17347,11.82431
740,11.07571,10.47956,11.26282
760,10.50051,10.36568,10.72457
780,9.979444,9.857258,10.12106
