Boid Count, Average, Minimum, Maximum
20,608.124,46.9391,743.3286
40,461.7558,47.83911,534.9023
60,294.7479,10.16089,371.54
80,221.3316,38.74648,243.7419
100,167.0544,130.5568,192.3225
120,146.1922,115.5869,161.111
140,143.0458,110.8414,151.1556
160,123.6612,104.407,136.2435
180,116.4322,101.0377,124.3812
200,105.7716,91.91093,114.1461
220,97.34232,86.30733,105.2333
240,90.7072,76.43507,97.70109
260,85.12999,76.37086,90.85292
280,78.90766,63.36332,85.44233
300,74.57365,64.09886,78.27115
320,70.42322,58.82561,75.20946
340,66.66803,58.99183,70.94211
360,63.76221,52.97985,67.81776
380,61.15325,28.58564,64.99964
400,56.78477,40.80384,60.48217
420,55.46932,48.11,59.09782
440,52.88086,46.05748,55.8042
460,50.6235,43.44785,53.56358
480,48.81162,40.50059,51.78262
500,46.69426,39.51679,49.30237
520,43.44227,24.11673,47.68649
540,42.17682,36.71611,46.26823
560,40.5425,35.2021,44.31995
580,39.19664,33.48267,42.51376
600,37.09138,32.80679,40.47043
620,35.43699,30.2635,39.4098
640,33.79362,28.11674,37.32221
660,33.6572,30.00507,36.87764
680,32.7215,27.04918,36.52901
700,31.34981,26.72475,34.66637
720,29.25247,17.84733,32.7478
740,29.06883,24.79556,32.34749
760,29.41047,24.18789,33.07064
780,28.00878,22.68294,32.2817
800,28.09757,23.27947,31.32106
820,24.49929,21.45688,27.90848
840,23.71736,21.65102,26.25954
860,22.57192,20.78233,24.49462
880,21.75716,19.57909,23.65324
900,21.0644,20.07387,21.75124
920,20.19896,19.23084,21.01472
940,19.65719,18.4821,20.5593
960,19.18971,18.46831,20.29711
980,18.76106,18.06916,19.39458
1000,18.26528,17.22454,18.85295
1020,17.85321,17.34145,18.2902
1040,17.45844,16.76381,18.21806
1060,17.07438,16.715,17.61506
1080,16.72892,16.29495,17.36027
1100,16.33173,15.48196,16.85718
1120,15.97543,15.20138,16.42166
1140,15.6273,14.88241,16.1916
1160,15.41371,15.09316,15.7483
1180,15.11483,14.77943,15.45265
1200,14.77599,14.41452,14.99424
1220,14.48274,14.20606,14.7668
1240,14.14298,13.42835,14.50097
1260,13.96698,13.68937,14.19444
1280,13.71079,13.40247,13.94422
1300,13.45221,13.21123,13.62142
1320,13.22089,13.00465,13.36055
1340,13.0081,12.77862,13.17124
1360,12.72749,12.04921,12.9189
1380,12.57944,12.43512,12.72482
1400,12.37348,12.15999,12.51081
1420,12.04799,11.893,12.2621
1440,11.66437,11.51772,11.81784
1460,11.34871,11.2281,11.43304
1480,11.06988,10.27578,11.22292
1500,10.86864,10.68836,10.99068
1520,10.56834,10.36088,10.68559
1540,10.28617,10.05924,10.45006
1560,10.05927,9.665328,10.18464
1580,9.840905,9.509455,9.980897
