Boid Count, Average, Minimum, Maximum
20,667.8415,28.02793,826.1732
40,618.0756,25.01138,796.2417
60,610.751,28.00344,727.1141
80,571.9804,27.77068,702.0007
100,552.6025,24.97964,691.085
120,537.8027,27.56765,644.6622
140,485.0192,25.32678,619.6555
160,497.7505,27.83631,607.0172
180,459.3527,28.39739,583.4305
200,463.8235,26.7497,555.4013
220,441.946,27.67101,537.3455
240,446.2887,27.83662,515.5703
260,430.5801,27.21777,509.9439
280,424.2594,27.77045,493.3643
300,411.4606,27.99239,481.0468
320,405.1074,27.42619,472.925
340,393.6478,27.33585,461.1908
360,381.6203,27.40973,443.6557
380,377.3897,27.6603,439.0586
400,358.7764,26.98422,422.994
420,354.8625,27.10233,415.0239
440,350.3348,27.19372,406.0419
460,338.1254,27.10343,401.3002
480,335.7981,26.90935,386.8322
500,326.2382,27.19401,382.3361
520,321.5927,141.989,377.1308
540,311.3416,27.39771,364.8836
560,316.2859,27.11798,358.6286
580,306.6417,26.40355,354.9624
600,300.457,27.31002,344.6018
620,291.8574,26.46952,340.0667
640,290.2762,27.02337,335.0421
660,283.5356,26.93117,323.8762
680,276.5895,25.30217,325.6693
700,267.9824,26.22586,316.8969
720,259.2839,128.4208,301.1323
740,254.5946,127.1084,301.1776
760,251.0898,26.92486,292.167
780,249.1672,26.56247,284.3656
800,237.5954,26.82202,286.4427
820,237.9207,25.94922,278.9478
840,231.408,118.8227,268.4924
860,228.9988,120.4094,262.819
880,225.5011,26.55521,257.0694
900,220.9292,23.83483,248.4966
920,211.3944,26.11403,246.1478
940,211.5738,114.2074,241.0684
960,204.0029,24.00021,234.0605
980,192.1082,24.07625,228.0398
1000,185.5044,99.23194,225.4283
1020,191.1636,24.53518,215.2899
1040,184.5425,25.17516,216.3566
1060,183.9316,104.5161,211.6223
1080,179.336,25.56995,209.2225
1100,181.2626,24.56218,211.8824
1120,184.9085,90.97608,211.1308
1140,183.5482,25.70668,211.4433
1160,176.6517,105.3685,205.7274
1180,179.7106,103.4115,203.8777
1200,175.2398,25.2133,200.9081
1220,174.8769,104.6693,194.7723
1240,170.5156,23.64815,191.0877
1260,169.0301,25.30377,189.3222
1280,163.0549,80.70438,188.3417
1300,166.3997,25.01126,187.1223
1320,163.1187,100.2295,181.2119
1340,162.6935,24.86473,181.5409
1360,159.9716,99.36604,177.3553
1380,156.0255,95.31344,174.6603
1400,152.8004,24.46998,172.831
1420,153.6579,95.10585,174.584
1440,153.0497,25.16724,168.9789
1460,152.2154,91.77596,165.3767
1480,149.4537,25.18048,165.8512
1500,146.3347,93.06048,161.7626
1520,142.1073,23.79791,160.4956
1540,144.5048,91.39598,158.5967
1560,142.3114,24.69904,155.7147
1580,141.0692,90.8587,154.3281
1600,138.6044,24.05969,150.8455
1620,136.1328,87.45616,150.3465
1640,130.5269,24.07707,147.0285
1660,130.8831,84.31917,141.3168
1680,126.8826,22.12879,137.9406
1700,123.7327,82.1072,134.8508
1720,123.0343,23.56612,133.4223
1740,121.6342,82.23076,132.7211
1760,117.8615,79.17343,132.3767
1780,119.5342,82.36215,130.7908
1800,117.7815,77.53922,128.0836
1820,115.8501,24.01664,127.2799
1840,115.0983,74.47181,126.0398
1860,112.035,23.90566,124.5935
1880,110.7949,74.65639,123.905
1900,110.1572,77.31859,121.5894
1920,108.9041,73.67514,119.9372
1940,107.2855,74.27654,117.8842
1960,106.2558,22.8867,117.4426
1980,105.8846,73.21019,117.8828
2000,85.64655,9.639576,117.2086
2020,99.7468,20.25091,109.6936
2040,97.52151,12.24674,109.8961
2060,98.31233,68.88998,111.1432
2080,94.48697,50.77353,107.3053
2100,86.69783,20.53785,107.446
2120,82.18915,48.53427,105.5977
2140,91.08962,51.48641,105.3996
2160,91.02802,22.3163,104.6058
2180,87.76935,51.64436,103.1406
2200,90.0846,53.34187,103.2173
2220,90.29393,22.18997,103.9815
2240,82.37271,46.84126,101.5548
2260,82.35815,10.65753,97.34065
2280,88.39473,22.01441,95.96561
2300,88.25629,62.02166,94.24271
2320,86.83804,63.1708,93.42039
2340,85.92983,63.22511,92.95753
2360,85.24841,64.46912,92.34464
2380,85.04247,62.11026,91.87123
2400,84.38265,64.33847,90.22258
2420,83.61391,52.69259,90.24294
2440,83.13457,62.36358,89.81417
2460,82.92767,62.32005,89.67966
2480,82.13676,19.7415,87.63628
2500,81.04106,60.29362,86.68291
2520,80.90223,60.87984,87.67546
2540,80.09837,21.72878,87.43705
2560,79.7329,59.90822,85.32714
2580,78.13895,53.58741,84.8162
2600,78.38184,58.50895,84.06399
2620,77.1655,21.47287,83.21752
2640,76.87225,58.17674,82.77803
2660,76.19233,58.78722,81.77885
2680,75.53467,20.70188,80.72459
2700,75.30698,58.10271,80.63605
2720,74.59583,59.11074,79.76453
2740,73.50285,56.21736,79.91433
2760,73.67542,19.55118,78.65655
2780,73.06042,54.71028,78.14758
2800,72.81408,56.38154,77.69887
2820,71.36765,20.89646,78.04939
2840,71.52527,54.51641,77.0606
2860,71.16474,54.32745,75.91113
2880,70.83967,47.47865,76.48125
2900,69.8435,20.84501,75.24228
2920,69.16534,52.97115,74.24181
2940,69.19691,53.94965,73.71533
2960,68.80629,53.90138,73.10476
2980,68.28293,20.33029,73.40904
3000,68.24097,53.89267,72.67653
3020,67.62671,52.18335,72.34895
3040,67.32471,53.49711,72.0835
3060,66.70051,53.53147,71.07573
3080,66.42072,51.40041,70.87675
3100,65.16061,20.39501,70.80499
3120,65.13313,49.6342,69.62819
3140,64.47752,51.62836,68.8544
3160,63.99785,51.12736,68.50488
3180,63.52044,39.77282,68.30088
3200,61.52234,43.42219,66.84671
3220,61.63133,46.05154,66.41429
3240,61.25564,46.627,65.64006
3260,60.18066,46.34672,64.66047
3280,58.84934,47.5803,62.41535
3300,58.01345,46.87661,61.55361
3320,57.70283,46.09314,61.24749
3340,57.45096,19.65501,61.08847
3360,56.89536,42.84288,60.53415
3380,56.54764,45.73122,60.08568
3400,55.70378,45.52242,59.81291
3420,54.81534,17.05292,59.24206
3440,54.89702,43.13097,58.56893
3460,54.51611,44.17586,58.61218
3480,54.05277,42.19445,58.54493
3500,53.68637,44.27835,57.25967
3520,52.92281,43.93924,56.54573
3540,52.50398,43.09843,57.16539
3560,51.99893,42.46411,56.17504
3580,51.80439,42.78716,55.96534
3600,50.75843,18.5493,55.50437
3620,50.58502,42.80694,55.28466
3640,50.20788,41.2247,54.38063
3660,50.0965,41.37994,53.84711
3680,49.32225,39.01708,53.72271
3700,49.23487,40.70816,52.86418
3720,48.8921,39.84016,53.20734
3740,48.51198,40.71744,53.03858
3760,48.19211,38.79156,52.36863
3780,47.81477,40.6514,51.35421
3800,47.21036,39.99072,50.71894
3820,47.08621,37.60218,50.90146
3840,46.78331,38.82515,50.50709
3860,46.37147,18.06933,49.95953
3880,46.13662,39.19033,49.35931
3900,45.87513,39.28687,49.17195
3920,45.62822,37.25505,49.85641
3940,45.35019,38.38418,48.4163
3960,45.15344,37.57012,49.12098
3980,44.96295,36.80516,48.32645
4000,44.66433,37.7919,47.47346
4020,44.40059,37.21526,47.83087
4040,44.23637,37.93929,46.91092
4060,43.89154,17.35454,46.5493
4080,43.61522,37.48758,46.22802
4100,43.17951,35.84191,45.84969
4120,42.97739,36.67693,46.07403
4140,42.87729,37.05927,45.24211
4160,42.79848,36.53008,44.99822
4180,42.48798,36.22204,44.75555
4200,41.91167,16.16344,44.78621
4220,42.01061,36.33298,44.22881
4240,41.76348,35.97472,43.98272
4260,41.6417,35.86415,43.60871
4280,40.94215,34.10292,43.71604
4300,41.18355,35.91541,43.54908
4320,40.93252,17.30289,43.1986
4340,40.7984,35.61292,42.84674
4360,40.59428,35.05635,42.79723
4380,40.09321,33.09373,42.79576
4400,40.1382,34.59896,42.15496
4420,39.81314,34.40837,42.01522
4440,39.60641,15.95757,41.94191
4460,39.43177,33.81063,41.81074
4480,39.35487,34.19189,41.61292
4500,39.10404,34.42898,41.00276
4520,38.89257,33.26857,40.79451
4540,38.64879,33.87729,40.59776
4560,38.60262,15.54893,40.61656
4580,38.31681,32.89917,40.45667
4600,38.10456,33.20042,40.18695
4620,37.99658,33.29604,39.94424
4640,37.62556,32.77367,39.75005
4660,37.65272,32.16944,39.58248
4680,37.52394,32.56883,39.67373
4700,37.41765,33.0725,39.22245
4720,36.90907,15.25742,39.21999
4740,36.66692,31.97626,38.58323
4760,36.44718,31.67193,38.4302
4780,36.23882,31.23067,38.05291
4800,36.02531,31.38732,37.86115
4820,35.34087,29.99166,37.2895
4840,34.86943,16.10571,37.1779
4860,34.57516,30.68464,36.30054
4880,34.22317,29.7534,35.71569
4900,33.48793,29.14441,35.18179
4920,33.40623,30.06976,35.08981
4940,33.22598,29.41505,34.84527
4960,33.01368,29.02522,34.72367
4980,32.82331,29.39741,34.57755
5000,32.59656,26.89763,34.09653
5020,32.45506,29.09133,34.21002
5040,32.20857,28.85237,33.95009
5060,32.14705,27.75519,33.84026
5080,31.90189,28.38007,33.75391
5100,31.58398,27.81494,33.28596
5120,31.44261,28.04978,33.04278
5140,31.28781,27.67339,32.92831
5160,31.05479,27.59801,32.77045
5180,30.85195,27.68595,32.81066
5200,30.77865,27.25011,32.51779
5220,30.57306,27.38631,32.50595
5240,30.49084,26.80785,32.24028
5260,29.98066,15.23874,32.77388
5280,29.85132,26.25244,31.98649
5300,29.53038,14.41076,31.61885
5320,29.6887,25.96431,31.39353
